"Sample_ID","Logger_ID","Date_time","T1","T2","T3","Raw_soil_moisture","Vol_soil_moisture","time_diff"
"22-10000",94233356,2022-05-13 09:30:00,22.5,22.5,21.3125,364,0,0
"22-10000",94233356,2022-05-13 09:45:00,18.5,19.4375,18.5,733,1.8,15
"22-10000",94233356,2022-05-13 10:00:00,18.3125,19.125,18.25,738,1.9,30
"22-10000",94233356,2022-05-13 10:15:00,18.25,18.375,17.6875,739,1.9,45
"22-10000",94233356,2022-05-13 10:30:00,18.25,18.75,18.125,743,2,60
"22-10000",94233356,2022-05-13 10:45:00,18.3125,18.5,17.75,744,2,75
"22-10000",94233356,2022-05-13 11:00:00,18.375,18.75,18.25,745,2.1,90
"22-10000",94233356,2022-05-13 11:15:00,18.5,19.1875,18.75,748,2.1,105
"22-10000",94233356,2022-05-13 11:30:00,23.125,20.8125,20.4375,368,0,120
"22-11002",94226824,2022-05-20 10:00:00,21.3125,26.75,25.25,869,4.9,4
"22-11002",94226824,2022-05-20 10:15:00,22.875,27.875,25,884,5.2,19
"22-11002",94226824,2022-05-20 10:30:00,18.625,22.125,20.875,849,4.4,34
"22-11002",94226824,2022-05-20 10:45:00,17.8125,20,20.75,845,4.3,49
"22-11002",94226824,2022-05-20 11:00:00,17.25,19.4375,20.625,845,4.3,64
"22-11002",94226824,2022-05-20 11:15:00,17.25,19.4375,20.875,845,4.3,79
"22-11002",94226824,2022-05-20 11:30:00,17,19.4375,21,844,4.3,94
"22-11002",94226824,2022-05-20 11:45:00,16.875,19.5,21,844,4.3,109
"22-11002",94226824,2022-05-20 12:00:00,17.125,19.875,21.375,843,4.3,124
"22-11003",94226815,2022-05-23 11:00:00,17.875,20.875,20.4375,885,5.3,2
"22-11003",94226815,2022-05-23 11:15:00,18.5,21.25,20.75,695,0.9,17
"22-11003",94226815,2022-05-23 11:30:00,18.25,20.875,20.375,698,1,32
"22-11003",94226815,2022-05-23 11:45:00,18.375,21,20.625,700,1,47
"22-11003",94226815,2022-05-23 12:00:00,18.625,21.375,20.875,702,1.1,62
