sample_ID,date,start_time,end_time,climate_logger_ID,latitude,longitude,GPS,city,address,location_description,site,habitat_description,temperature,weather,shade,wind,imp_mean,imp_median,imp_stdev,imp_min,imp_max,t1_mean,t1_max,t1_min,t1_sd,t1_var,t2_mean,t2_max,t2_min,t2_sd,t2_var,t3_mean,t3_max,t3_min,t3_sd,t3_var,raw_moist_mean,raw_moist_max,raw_moist_min,raw_moist_sd,raw_moist_var,vol_moist_mean,vol_moist_max,vol_moist_min,vol_moist_sd,vol_moist_var,remarks_participants,remarks_Nelma
22-10000,13.05.2022,9:30,11:26,94233356,51.500890,11.959570,"51.50089, 11.95957",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"neben einem Park, Erde, Gras, Huegel, neben Sportlaufbahn",19,lightly cloudy,half-shade,strong wind,37.41935,22,40.52293,0,100,18.35714286,18.5,18.25,0.106521013,0.011346726,18.875,19.4375,18.375,0.386961992,0.149739583,18.1875,18.75,17.6875,0.380172658,0.14453125,741.4285714,748,733,5.061526214,25.61904762,1.971428571,2.1,1.8,0.111269728,0.012380952,in der Anfangszeit keine einzige Ameise in der Naehe,"ID was origilly 22-11024, but it was given twice so they changed it to 22-10000. 2 options chosen for wind, picked the highest"
22-11002,20.05.2022,9:56,11:56,94226824,52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Schaetzelberg-Grundschule,Wiese vor Schule,27,lightly cloudy,half-shade,weak wind,49.26471,45,28.03042,4,100,18.45833333,22.875,16.875,2.16303281,4.678710938,21.60416667,27.875,19.4375,3.356866796,11.26855469,21.86111111,25.25,20.625,1.862924076,3.470486111,852,884,843,14.48274836,209.75,4.477777778,5.2,4.3,0.334580998,0.111944444,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11003,23.05.2022,10:58,,94226815,52.425870,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin",John F. Kennedy School (JFK-SCHULE),JFK-Schule,"Baeume, Gras, Park",18,lightly cloudy,full shade,weak wind,69.50645,88.5,36.38218,0,100,18.69444444,19.4375,17.875,0.505288868,0.25531684,21.5,22.3125,20.875,0.54932487,0.301757813,21.04861111,21.75,20.375,0.552672641,0.305447049,723,885,695,60.92208138,3711.5,1.544444444,5.3,0.9,1.411657812,1.992777778,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11004,20.05.2022,9:50,11:51,94233332,52.443910,13.276570,"52.44391, 13.27657",Berlin,"Molsheimer Str. 7, 14195 Berlin Steglitz- Zehlendorf","Muehlenau-Grundschule, im Schulgarten",Muehlenau-Grundschule,"Gras, Erde, Obstbaum, Muelleimer, Gewaechshaus",19,lightly cloudy,half-shade,weak wind,40.57372,33.5,28.99969,0,100,18.06944444,18.625,17.75,0.3500062,0.12250434,21.74305556,23.5,20.6875,1.156015367,1.336371528,21.86805556,23.375,20.1875,0.996793906,0.99359809,695.7777778,706,688,5.333333333,28.44444444,0.944444444,1.2,0.8,0.113038833,0.012777778,,
22-11005,25.05.2022,10:20,12:21,94233342,52.422769,13.265704,"52.42276853960141, 13.265704271622663",Berlin,"Leo-Baeck-Straße 28-30, 14167 Berlin","Schweizerhof-Grundschule, neben sandigem Bolzplatz",Schweizerhof-Grundschule,"Gebuesch, Straeucher, Baeume, sandig",16,lightly cloudy,half-shade,weak wind,26.74359,19.5,26.9146,0,100,16.43055556,18.125,16,0.65509157,0.429144965,18.8125,20.5,18.0625,0.731543744,0.53515625,18.04861111,18.75,17.4375,0.452615854,0.204861111,1052.444444,1111,678,140.7143482,19800.52778,8.955555556,10.3,0.5,3.176519759,10.09027778,,
22-11006,20.05.2022,10:35,,94226718,52.501667,13.260000,"52.501667, 13.26",Berlin,"Waldschulallee 71, 14055 Berlin",Heinz-Galinski-Schule,Heinz-Galinski-Schule,"sandig, Pflanzen",21.5,lightly cloudy,half-shade,weak wind,51.54952,46,34.47551,0,100,17.45833333,18,17.25,0.235932326,0.055664063,21.125,24.5,19.375,1.763341997,3.109375,22.32638889,27.5,20.125,2.482315927,6.161892361,1253.444444,1267,1238,9.580071909,91.77777778,13.41111111,13.7,13.1,0.202758751,0.041111111,,sheet describing group tasks attached to data sheet
22-11007,25.05.2022,10:00,12:00,94233343,52.422818,13.265197,"52.422818, 13.265197",Berlin,"Leo-Baeck-Straße 28-30, 14167 Berlin",Schweizerhof-Grundschule; vor der Turnhalle,Schweizerhof-Grundschule,"Baum, neben Busch, Erde, Ameisentunnel",16,lightly cloudy,half-shade,no wind,33.48701,22,30.5706,0,100,17.51388889,18.9375,16.25,1.039633432,1.080837674,21.17361111,24.1875,18.5,1.646129984,2.709743924,20.82638889,24.375,18.25,1.677859551,2.815212674,1560.111111,1569,1544,8.652231568,74.86111111,19.9,20.1,19.6,0.180277564,0.0325,Obwohl 5 Ameisenbau in der Naehe sind keine Ameisen gekommen,
22-11008,31.05.2022,9:30,11:30,94233323,52.640230,13.488230,"52.64023, 13.48823",Berlin,"Wiltbergstraße 82, 13125 Berlin",Montessori-Gemeinschaftsschule Berlin-Buch,Montessori-Gemeinschaftsschule,Gras,13,lightly cloudy,no shade,no wind,26.4871,15,32.39103,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,top right corner: yellow round sticker
22-11009,16.05.2022,9:02,11:02,94226711,52.501950,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lueckstraße 63, 10317 Berlin","Immanuel-Kant-Gymnasium, Basketballplatz",Immanuel-Kant-Gymnasium,"Gebuesch, auf Erdflaeche",15,no clouds,full shade,no wind,58.98701,65,37.06479,0,100,17.40277778,18.0625,16.8125,0.403973321,0.163194444,19.27777778,20.75,18.1875,0.952028627,0.906358507,19.22916667,21,17.75,1.217948454,1.483398438,809.4444444,819,799,7.090682462,50.27777778,3.544444444,3.8,3.3,0.181046342,0.032777778,,"temperature: says 12, later 18"
22-11010,20.05.2022,9:05,12:06,94226825,,,,,,,,unter Baum auf Wiese,21,lightly cloudy,half-shade,weak wind,,,,,,18.71527778,18.875,18.5,0.108753193,0.011827257,22.20138889,24.25,20.625,1.350556084,1.824001736,22.45833333,25.5,21.0625,1.5474273,2.39453125,1300,1315,1287,8.874119675,78.75,14.38888889,14.7,14.1,0.190029238,0.036111111,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11011,06.06.2022,13:40,15:41,94226715,51.267974,12.292509,"51.267974, 12.292509",Leipzig,"Holunderweg 18, 04249 Leipzig",looks like a private home,private home exp 22-11011,"Wiese, zwischen Bueschen, Sauerkirschbaum",24,lightly cloudy,no shade,weak wind,50.02894,57,34.21827,0,100,23.82638889,29.3125,22.625,2.094630826,4.387478299,27.29861111,29.625,22.6875,2.360311854,5.571072049,27.13194444,29.25,22.75,2.450375538,6.004340278,1046.555556,1062,1011,18.6219703,346.7777778,8.877777778,9.2,8.1,0.411636301,0.169444444,,
22-11012,13.05.2022,9:26,11:26,94233313,51.501043,11.959813,"51.501043, 11.959813 ",Halle,"Giebichenstein, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Schotter, Zaun, Gras, Erde, Busch, Baum ",18,lightly cloudy,half-shade,weak wind,31.11974,11,38.54273,0,100,17.34821429,17.8125,17.1875,0.213042026,0.045386905,19.51785714,20.25,19,0.481039301,0.23139881,18.85714286,19.5,18.25,0.464514596,0.21577381,1017.428571,1025,1009,5.503245796,30.28571429,8.214285714,8.4,8,0.134518542,0.018095238,"wind: it says ""teilweise"" under the weak wind ",
22-11013,20.05.2022,10:11,12:21,94233372,52.454883,13.270002,"52.45488324373612, 13.27000240964818",Berlin,"Huettenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule; bushes,Quentin-Blake-Grundschule,"Erde, Gebuesch",23,no clouds,half-shade,no wind,72.48065,83.5,29.29843,10,100,17.15277778,18.3125,16.875,0.480184607,0.230577257,20.80555556,22.5625,19.625,0.907027923,0.822699653,21.52777778,22.625,20.25,0.881732531,0.777452257,1049,1056,1040,5.656854249,32,8.922222222,9.1,8.7,0.139443338,0.019444444,"Soerung: Menschen, temperature was taken at 12:23","On top of sheet: ""Amelia, Amira, Yara, Alma, U""; Location:  it was only written QBES, I am assuming it is the quentin blake school"
22-11014,17.05.2022,12:55,,94226712,52.515178,13.437952,"52.5151779064315, 13.437951893254114",Berlin,"Rueckersdorferstr. 20 - 26, 10243 Berlin",Ellen-Key-Schule,Ellen-Key-Schule,"Erde, Baeume, Pflastersteine, Efeu",19,very cloudy,no shade,no wind,57.28571,61,36.53813,0,100,21.96875,22.75,21.375,0.493314682,0.243359375,22.59375,26.25,20.25,2.035524349,4.143359375,22.14583333,25.5,19.9375,1.923809155,3.701041667,1142.5,1178,1123,21.51046257,462.7,11.01666667,11.8,10.6,0.466547604,0.217666667,,"No info on location, but only school that did experiments on that day is the Ellen-key-schule. Time of day and weather conditions also match other experiments"
22-11015,20.05.2022,10:15,12:19,94226830,52.463125,13.260276,"52.4631245, 13.2602758",Berlin,"Huettenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule; Hof B,Quentin-Blake-Grundschule,"trocken, sandig, Baum, Gras",22,no clouds,no shade,no wind,0,0,0,0,0,24.66666667,25.75,23.8125,0.692453744,0.479492188,27.92361111,30.3125,26.375,1.475641339,2.177517361,25.57638889,27.375,24.3125,1.014916954,1.030056424,1231.111111,1259,1210,18.04469759,325.6111111,12.91111111,13.5,12.5,0.391932534,0.153611111,,"Coordites given by the students, but they're not the address of the school, they're in the middle of the forest. ; Top of sheet: ""Daniel"""
