"i","T1_mean","T1_max","T1_min","T1_sd","T1_var","T2_mean","T2_max","T2_min","T2_sd","T2_var","T3_mean","T3_max","T3_min","T3_sd","T3_var","Raw_moist_mean","Raw_moist_max","Raw_moist_min","Raw_moist_sd","Raw_moist_var","Vol_moist_mean","Vol_moist_max","Vol_moist_min","Vol_moist_sd","Vol_moist_var"
"23-11181","21.4305555555556","21.75","21.25","0.201179249123208","0.0404730902777778","23.4375","25.625","22.5625","0.957087051944597","0.916015625","22.7430555555556","25.375","21.75","1.16275385519799","1.35199652777778","1082.44444444444","1088","1080","2.45515331044271","6.02777777777778","9.65555555555556","9.8","9.6","0.0726483157256781","0.0052777777777778"
"23-11182","21.4305555555556","21.75","21.25","0.201179249123208","0.0404730902777778","23.4375","25.625","22.5625","0.957087051944597","0.916015625","22.7430555555556","25.375","21.75","1.16275385519799","1.35199652777778","1082.44444444444","1088","1080","2.45515331044271","6.02777777777778","9.65555555555556","9.8","9.6","0.0726483157256781","0.0052777777777778"
"23-11183","21.4305555555556","21.75","21.25","0.201179249123208","0.0404730902777778","23.4375","25.625","22.5625","0.957087051944597","0.916015625","22.7430555555556","25.375","21.75","1.16275385519799","1.35199652777778","1082.44444444444","1088","1080","2.45515331044271","6.02777777777778","9.65555555555556","9.8","9.6","0.0726483157256781","0.0052777777777778"
"23-11184","21.4305555555556","21.75","21.25","0.201179249123208","0.0404730902777778","23.4375","25.625","22.5625","0.957087051944597","0.916015625","22.7430555555556","25.375","21.75","1.16275385519799","1.35199652777778","1082.44444444444","1088","1080","2.45515331044271","6.02777777777778","9.65555555555556","9.8","9.6","0.0726483157256781","0.0052777777777778"
"23-11185","21.4305555555556","21.75","21.25","0.201179249123208","0.0404730902777778","23.4375","25.625","22.5625","0.957087051944597","0.916015625","22.7430555555556","25.375","21.75","1.16275385519799","1.35199652777778","1082.44444444444","1088","1080","2.45515331044271","6.02777777777778","9.65555555555556","9.8","9.6","0.0726483157256781","0.0052777777777778"
"23-22001","16.6319444444444","16.9375","16.25","0.252805439573158","0.0639105902777778","17.7361111111111","21.1875","16.6875","1.36565638471437","1.86501736111111","17.6458333333333","20.5625","16.375","1.2464794171987","1.5537109375","747.222222222222","757","733","8.01214356114794","64.1944444444444","2.11111111111111","2.3","1.8","0.176383420737639","0.0311111111111111"
"23-22002","18.7875","19","18.375","0.248432586429397","0.06171875","18.6","19","18.375","0.244470090195099","0.059765625","17.5375","17.8125","17.25","0.240442300770892","0.0578125","976.6","980","972","3.20936130717624","10.3","7.32","7.4","7.2","0.0836660026534077","0.00700000000000002"
"23-22003","19.3203125","19.5","19.1875","0.122463095753082","0.0149972098214286","18.8984375","19.8125","18.25","0.545821689715868","0.297921316964286","18.484375","19.875","17.375","0.808541179709305","0.653738839285714","1275.375","1377","1003","167.506876191482","28058.5535714286","13.8125","16","7.9","3.62508620587152","13.14125"
"23-22004","16.78125","17.125","16.625","0.17566836653194","0.030859375","18.1770833333333","22.4375","17","2.13834656724925","4.57252604166667","16.8958333333333","18","15.8125","0.769198717280955","0.591666666666667","713.5","740","687","26.8905187752115","723.1","1.33333333333333","1.9","0.7","0.621825270205921","0.386666666666667"
"23-22007","20.625","21.3125","18.9375","0.765465544619743","0.5859375","20.0555555555556","22.625","19.0625","1.10195336347678","1.21430121527778","18.8541666666667","20.5625","17.4375","0.984746953536796","0.9697265625","963.222222222222","996","920","28.1103974437297","790.194444444444","7.01111111111111","7.7","6","0.631356564162527","0.398611111111111"
"23-22009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22015","18.1527777777778","18.5","18.0625","0.136613302589625","0.0186631944444444","22.0555555555556","25.25","21.375","1.2145136486585","1.47504340277778","26.2291666666667","26.875","25.4375","0.523845456695007","0.2744140625","1760.66666666667","1763","1755","3","9","24.0222222222222","24.1","23.9","0.0833333333333345","0.00694444444444464"
"23-22021","21.9305555555556","23.5","21.5","0.668373466168263","0.446723090277778","25.8333333333333","26.5","24.875","0.571968913053848","0.3271484375","26.2013888888889","27","25","0.647846325227759","0.419704861111111","936.222222222222","943","930","5.14241620684717","26.4444444444444","6.42222222222222","6.6","6.3","0.1092906420717","0.0119444444444444"
"23-22022","20.5208333333333","21.25","20.25","0.298106000442796","0.0888671875","25.7152777777778","26.5","25.5","0.311108010897252","0.0967881944444444","26.6805555555556","27.125","26.0625","0.359639093784001","0.129340277777778","1352.88888888889","1360","1342","6.19363472535402","38.3611111111111","15.5333333333333","15.7","15.3","0.141421356237309","0.0199999999999999"
"23-22025","20.3671875","22.0625","20.0625","0.687449267608683","0.472586495535714","25.9296875","28.5","25.0625","1.15603883206837","1.33642578125","26.7265625","30.3125","25.625","1.53200145555461","2.34702845982143","1435.875","1444","1426","5.69304086457442","32.4107142857143","17.3","17.5","17.1","0.130930734141595","0.017142857142857"
"23-22028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22029","22.2777777777778","24.125","21.875","0.736274876961346","0.542100694444444","25.8125","27.375","24.875","0.862635858865141","0.744140625","26.2152777777778","27.3125","25.3125","0.779442353188768","0.607530381944444","891.888888888889","898","889","3.17979733805649","10.1111111111111","5.4","5.5","5.3","0.0866025403784439","0.00750000000000001"
"23-22030","31.3611111111111","37.1875","25.75","3.14195055636003","9.87185329861111","29.5833333333333","31.375","25.125","1.91315348312675","3.66015625","28.7083333333333","30","24.625","1.70734854745597","2.9150390625","849","2199","556","578.902625663418","335128.25","5.51111111111111","32.6","0","11.6103880689282","134.801111111111"
"23-22033","17.8828125","19.375","16.75","1.02013080174974","1.04066685267857","26.4609375","31","19.125","4.56683227535783","20.85595703125","28.359375","31.375","22.375","3.69343499381963","13.6414620535714","962.125","982","935","18.5120617050459","342.696428571429","6.9875","7.4","6.4","0.405101398241407","0.164107142857143"
"23-22035","26.2142857142857","29.75","24.125","2.02293398428172","4.09226190476191","24.2589285714286","25.25","23.5","0.713001076937676","0.508370535714286","23.9375","24.875","23.375","0.548435274212008","0.30078125","792","825","783","14.8996644257513","222","3.14285714285714","3.9","2.9","0.340867241298539","0.116190476190476"
"23-22040","23.8402777777778","29","19.25","3.84503422539312","14.7842881944444","24.5972222222222","27.4375","22.125","1.86222499834055","3.46788194444444","25.0486111111111","27.875","22.25","1.88481228803059","3.55251736111111","953.555555555556","969","931","10.5961208835016","112.277777777778","6.8","7.1","6.3","0.229128784747792","0.0525"
"23-22041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22042","27.0833333333333","30.5625","25.875","1.42487663939725","2.0302734375","32.6944444444444","34.875","27.625","2.30773251055615","5.32562934027778","31.2986111111111","32.5","28","1.40617283738917","1.97732204861111","1114.33333333333","1164","856","98.1440268177335","9632.25","10.3444444444444","11.5","4.6","2.18237892625863","4.76277777777778"
"23-22043","18.25","19","17.75","0.506211418282915","0.25625","20.9270833333333","22.25","19.75","0.935762278394821","0.875651041666667","21.3229166666667","22.6875","20.125","1.04911917419646","1.10065104166667","807.5","812","804","3.27108544675922","10.7","3.5","3.6","3.4","0.0894427190999917","0.00800000000000001"
"23-22045","15.35","15.625","15","0.246855220726644","0.0609375","17.04375","17.375","16.5","0.291741061940588","0.0851128472222222","16.71875","17.25","16.125","0.374130937418083","0.139973958333333","980.3","989","967","7.46919600016554","55.7888888888889","7.39","7.6","7.1","0.159513148186739","0.0254444444444445"
"23-22046","24.21875","26.75","22.1875","1.59729123384381","2.55133928571429","23.0625","26","19.625","1.94655143779968","3.7890625","20.7734375","23.625","18.25","1.69193778249126","2.86265345982143","970.25","982","953","9.19238815542512","84.5","7.1625","7.4","6.8","0.20658792662828","0.0426785714285715"
"23-22047","13.5625","13.75","13.5","0.0883883476483184","0.0078125","15.1875","16.125","14.375","0.660593618324783","0.436383928571429","15.3671875","16.5","14.25","0.736816799167686","0.542898995535714","773.5","781","760","7.01019665507731","49.1428571428571","2.725","2.9","2.4","0.166904592079256","0.0278571428571428"
"23-22049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22050","20.359375","20.6875","19.875","0.307550083029461","0.0945870535714286","21","23.25","20.25","1.078917281352","1.1640625","19.3671875","20.5","18.5","0.598022690533442","0.357631138392857","1402.875","1405","1400","1.5526475085203","2.41071428571429","16.5875","16.6","16.5","0.0353553390593279","0.00125000000000004"
"23-22052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22063","18.4296875","19.5","17.625","0.747344629696176","0.558523995535714","23.1171875","25.25","20.4375","1.50164994821173","2.25495256696429","23.140625","25.5","20.5","1.79835924724257","3.23409598214286","936","968","909","20.8942917700368","436.571428571429","6.4125","7.1","5.8","0.470372193055669","0.22125"
"23-22065","21.3671875","22.75","20.5625","0.705081603053353","0.497140066964286","19.9296875","21.8125","19.0625","0.924877827356519","0.855398995535714","18.8203125","20","18.125","0.726904441425615","0.528390066964286","991","999","985","4.72077475481666","22.2857142857143","7.625","7.8","7.5","0.103509833901353","0.0107142857142857"
"23-22066","16.0625","16.5","15.6875","0.311605863689556","0.0970982142857143","20.046875","23.375","18","1.56151754827521","2.43833705357143","19.1328125","22.25","17.375","1.3848823038568","1.91789899553571","998.5","1011","983","8.19407451411428","67.1428571428571","7.825","8.1","7.5","0.175254916376933","0.0307142857142857"
"23-22067","18.1527777777778","18.625","17.5625","0.327918254972858","0.107530381944444","17.4861111111111","18.125","16.75","0.512326359473247","0.262478298611111","17.3472222222222","18.0625","16.625","0.494215673511519","0.244249131944444","1080.11111111111","1117","1054","27.0483106886754","731.611111111111","9.6","10.4","9","0.587367006223537","0.345"
"23-22068","14.7265625","15.875","14.5","0.471198959911234","0.222028459821429","17.2734375","20.25","16.5","1.25442853914499","1.57359095982143","17.671875","19.125","16.75","0.779014659223891","0.606863839285714","1028.375","1035","1021","4.65794252556089","21.6964285714286","8.475","8.6","8.3","0.103509833901353","0.0107142857142856"
"23-22069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-22070","14.4375","15.25","13.625","0.637377439199098","0.40625","16.9166666666667","17.75","16.3125","0.491132301421928","0.2412109375","17.6180555555556","18.5","16.625","0.723789698585009","0.523871527777778","1574.11111111111","1669","1401","125.915094850106","15854.6111111111","20.1666666666667","22.1","16.6","2.60672207954741","6.795"
"23-22075","26.1736111111111","27.6875","25.5","0.681635339540954","0.464626736111111","28.2013888888889","33.4375","26.875","2.11181057948177","4.45974392361111","29.0833333333333","33.4375","28.25","1.64025293400134","2.6904296875","1216.55555555556","1311","889","184.300780730245","33966.7777777778","12.5444444444444","14.6","5.3","4.05096010567591","16.4102777777778"
"23-22076","13.6388888888889","13.75","13.625","0.0416666666666667","0.00173611111111111","15.3541666666667","17.125","14.3125","1.14008977168467","1.2998046875","16.2222222222222","20.25","14.5","1.92234778511705","3.69542100694444","1274.77777777778","1282","1268","4.49382292090425","20.1944444444444","13.8555555555556","14","13.7","0.0881917103688198","0.00777777777777779"
"23-22085","12.65625","12.875","12.5","0.129387292376691","0.0167410714285714","14.5390625","16.375","13.6875","0.897004874867308","0.804617745535714","15.0390625","16","14","0.718798523206806","0.516671316964286","1063.75","1068","1059","3.53553390593274","12.5","9.2375","9.3","9.1","0.0744023809142851","0.00553571428571437"
"23-22087","14.7109375","15.25","14.5625","0.231304288994266","0.0535016741071429","15.296875","16.125","14.625","0.537385785207291","0.288783482142857","15.6328125","16.75","14.8125","0.758462304247407","0.575265066964286","1075.375","1092","1009","27.2969778547003","745.125","9.5","9.9","8","0.618754509363078","0.382857142857143"
"23-22088","15.4791666666667","17.625","14.25","1.19037480967131","1.4169921875","23.3888888888889","29.125","17.625","4.65622669643684","21.6804470486111","22.3194444444444","27.125","17.25","4.0552151564717","16.4447699652778","1322.55555555556","1340","1296","16.0710229225702","258.277777777778","14.8888888888889","15.3","14.3","0.358623913189167","0.128611111111111"
