"Sample_ID","Logger_ID","Date_time","T1","T2","T3","Raw_soil_moisture","Vol_soil_moisture","time_diff"
"24-11001",94253271,2024-04-12 14:15:00,17.75,25.875,24.375,1232,12.9,4
"24-11001",94253271,2024-04-12 14:30:00,17,25.75,24.5,1249,13.3,19
"24-11001",94253271,2024-04-12 14:45:00,17,26.9375,24.75,1263,13.6,34
"24-11001",94253271,2024-04-12 15:00:00,17.0625,27.6875,26.0625,1273,13.8,49
"24-11001",94253271,2024-04-12 15:15:00,17.1875,28.375,25.625,1283,14,64
"24-11001",94253271,2024-04-12 15:30:00,17.3125,29.125,26.875,1289,14.2,79
"24-11001",94253271,2024-04-12 15:45:00,17.5,28.375,25.4375,1294,14.3,94
"24-11001",94253271,2024-04-12 16:00:00,17.625,26.9375,24.5,1296,14.3,109
"24-11001",94253271,2024-04-12 16:15:00,17.75,27.375,25.375,1301,14.4,124
"24-11002",94253296,2024-04-12 14:30:00,31.125,25.75,25.375,500,0,6
"24-11002",94253296,2024-04-12 14:45:00,22.75,27,24.125,980,7.4,9
"24-11002",94253296,2024-04-12 15:00:00,22.25,27.75,24.5,990,7.6,24
"24-11002",94253296,2024-04-12 15:15:00,22,27.125,24.125,992,7.7,39
"24-11002",94253296,2024-04-12 15:30:00,22,30.25,25.875,1003,7.9,54
"24-11002",94253296,2024-04-12 15:45:00,22.125,28.75,25.125,1000,7.8,69
"24-11002",94253296,2024-04-12 16:00:00,22.25,27.125,24.1875,998,7.8,84
"24-11002",94253296,2024-04-12 16:15:00,22.25,27.75,24.625,1000,7.8,99
"24-11002",94253296,2024-04-12 16:30:00,22.1875,27.375,24.5,1000,7.8,114
"24-11003",94253271,2024-05-20 08:45:00,18.1875,20.875,18.75,1065,9.3,0
"24-11003",94253271,2024-05-20 09:00:00,17.6875,21.75,20.375,1079,9.6,15
"24-11003",94253271,2024-05-20 09:15:00,17.75,22.0625,19.375,1086,9.7,30
"24-11003",94253271,2024-05-20 09:30:00,17.875,24,21.625,1097,10,45
"24-11003",94253271,2024-05-20 09:45:00,18.0625,25.625,23,1104,10.1,60
"24-11003",94253271,2024-05-20 10:00:00,18.3125,26.875,23.875,1109,10.2,75
"24-11003",94253271,2024-05-20 10:15:00,18.625,28.125,25,1115,10.4,90
"24-11003",94253271,2024-05-20 10:30:00,18.9375,29.4375,25.625,1120,10.5,105
"24-11003",94253271,2024-05-20 10:45:00,19.25,30.5,27,1126,10.6,120
"24-11004",94233367,2024-05-20 09:15:00,17.625,21.875,19.75,1283,14,3
"24-11004",94233367,2024-05-20 09:30:00,17.75,23.75,21.5,1291,14.2,18
"24-11004",94233367,2024-05-20 09:45:00,18.0625,25.1875,22.75,1297,14.3,33
"24-11004",94233367,2024-05-20 10:00:00,18.375,26.25,23.5625,1301,14.4,48
"24-11004",94233367,2024-05-20 10:15:00,18.8125,27.5,25.0625,1305,14.5,63
"24-11004",94233367,2024-05-20 10:30:00,19.25,28.5,25.375,1309,14.6,78
"24-11004",94233367,2024-05-20 10:45:00,19.625,29.6875,27.125,1313,14.7,93
"24-11004",94233367,2024-05-20 11:00:00,20.125,30.9375,28.25,1317,14.8,108
"24-11004",94233367,2024-05-20 11:15:00,20.5625,31.25,27.6875,1320,14.8,123
"24-11005",94253296,2024-05-20 09:45:00,19.875,27.375,26.125,905,5.7,6
"24-11005",94253296,2024-05-20 10:00:00,19.8125,28.5,25.25,914,5.9,21
"24-11005",94253296,2024-05-20 10:15:00,20.25,29.75,26.375,921,6.1,36
"24-11005",94253296,2024-05-20 10:30:00,20.75,30.75,27.25,926,6.2,51
"24-11005",94253296,2024-05-20 10:45:00,21.25,31.5,27.625,929,6.2,66
"24-11005",94253296,2024-05-20 11:00:00,21.875,32.375,28.8125,934,6.4,81
"24-11005",94253296,2024-05-20 11:15:00,22.4375,33.125,29.5,937,6.4,96
"24-11005",94253296,2024-05-20 11:30:00,23.0625,33.375,29.25,939,6.5,111
"24-11005",94253296,2024-05-20 11:45:00,24.375,32.375,27.375,425,0,126
"24-11006",94226717,2024-05-20 10:00:00,24.6875,22,27.375,1149,11.1,5
"24-11006",94226717,2024-05-20 10:15:00,19.625,26.25,24.75,1168,11.5,10
"24-11006",94226717,2024-05-20 10:30:00,19.9375,27.625,25.1875,1173,11.6,25
"24-11006",94226717,2024-05-20 10:45:00,20.4375,28.8125,26.125,1177,11.7,40
"24-11006",94226717,2024-05-20 11:00:00,21,29.75,26.875,1181,11.8,55
"24-11006",94226717,2024-05-20 11:15:00,21.625,30.375,27.25,1184,11.9,70
"24-11006",94226717,2024-05-20 11:30:00,22.25,31.75,28.625,1187,12,85
"24-11006",94226717,2024-05-20 11:45:00,22.875,32.625,29.75,1191,12,100
"24-11006",94226717,2024-05-20 12:00:00,23.4375,32.125,28.125,1190,12,115
"24-11007",94253296,2024-05-20 17:00:00,27.5,24.875,22.5,1292,14.2,2
"24-11007",94253296,2024-05-20 17:15:00,27,23.125,21.5,1290,14.2,17
"24-11007",94253296,2024-05-20 17:30:00,26.5,22.75,21.625,1292,14.2,32
"24-11007",94253296,2024-05-20 17:45:00,26,22.5,21.625,1290,14.2,47
"24-11007",94253296,2024-05-20 18:00:00,25.5,21.875,21.125,1289,14.2,62
"24-11007",94253296,2024-05-20 18:15:00,25,21.5,20.6875,1289,14.2,77
"24-11007",94253296,2024-05-20 18:30:00,24.625,21.75,21.375,1289,14.2,92
"24-11007",94253296,2024-05-20 18:45:00,24.25,21.75,21.3125,1288,14.1,107
"24-11007",94253296,2024-05-20 19:00:00,24,21.75,21.5,1288,14.1,122
"24-11008",94253271,2024-05-20 17:30:00,20.0625,21.5,21.25,1061,9.2,7
"24-11008",94253271,2024-05-20 17:45:00,20,21.75,21.5625,1064,9.3,22
