sample_ID,concentration,count_time,individuals,remarks_participants,remarks_Nelma
22-10000,0,5,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,10,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,20,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,40,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,80,1,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,120,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,Frozen,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,0,Lab,,,no sample linked to this data sheet
22-10000,5,5,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,10,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,20,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,40,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,80,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,120,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,Frozen,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,5,Lab,,,no sample linked to this data sheet
22-10000,10,5,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,10,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,20,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,40,1,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,80,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,120,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,Frozen,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,10,Lab,,,no sample linked to this data sheet
22-10000,20,5,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,10,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,20,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,40,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,80,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,120,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,Frozen,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,20,Lab,,,no sample linked to this data sheet
22-10000,40,5,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,10,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,20,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,40,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,80,1,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,120,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,Frozen,0,"origil sample ID 22-11024, was changed because it was given twice
no ants in proximity at start of experiment",
22-10000,40,Lab,,,no sample linked to this data sheet
22-11002,0,5,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,10,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,20,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,40,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
